manila command,openstack command,command description
share-server-migration-start,share server migration start,Migrate share server to a new host
share-server-reset-state,share server set --status,Explicitly update the state of a share server
share-server-reset-task-state,share server set --task-state,Explicitly update the task state of a share
share-server-show,share server show,Show share server info
share-server-unmanage,share server abandon,Unmanage share server
share-transfer-accept,share transfer accept,Accepts a share transfer.
share-transfer-create,share transfer create,Creates a share transfer.
share-transfer-delete,share transfer delete,Remove one or more transfers
share-transfer-list,share transfer list,Lists all transfers
share-transfer-show,share transfer show,Delete a transfer
show,share show,Show details about a NAS share
shrink,share resize,Decreases the size of an existing share
snapshot-access-allow,share snapshot access create,Allow read only access to a snapshot
snapshot-access-deny,share snapshot access delete,Deny access to a snapshot
snapshot-access-list,share snapshot access list,Show access list for a snapshot
snapshot-create,share snapshot create,Add a new snapshot
snapshot-delete,share snapshot delete,Remove one or more snapshots
snapshot-export-location-list,share snapshot export location list,List export locations of a given snapshot
snapshot-export-location-show,share snapshot export location show,Show export location of the share snapshot
snapshot-force-delete,share snapshot delete --force,Attempt force-deletion of one or more snapshots Regardless of the state
snapshot-instance-export-location-list,share snapshot instance export location list,List export locations of a given snapshot instance
snapshot-instance-export-location-show,share snapshot instance export location show,Show export location of the share instance snapshot
snapshot-instance-list,share snapshot instance list,List share snapshot instances
snapshot-instance-reset-state,share snapshot instance set --status,Explicitly update the state of a share snapshot instance
snapshot-instance-show,share snapshot instance show,Show details about a share snapshot instance
snapshot-list,share snapshot list,List all the snapshots
snapshot-manage,share snapshot adopt,Manage share snapshot not handled by Manila
snapshot-rename,share snapshot set --name,Rename a snapshot
snapshot-reset-state,share snapshot set --status,Explicitly update the state of a snapshot
snapshot-show,share snapshot show,Show details about a snapshot
snapshot-unmanage,share snapshot abandon,Unmanage one or more share snapshots
soft-delete,share delete --soft,Soft delete one or more shares
type-access-add,share type access create,Add share type access for the given project
type-access-list,share type access list,Print access information about the given share type
type-access-remove,share type access delete,Remove share type access for the given project
type-create,share type create,Create a new share type
type-delete,share type delete,Delete one or more specific share types
type-key,share type set --extra-specs,Set or unset extra_spec for a share type
type-list,share type list,Print a list of available 'share types'
type-show,share type show,Show share type details
type-update,share type set or share type unset,Update share type name and/or description and/or visibility
unmanage,share abandon,Unmanage share
update,share set or share unset,Rename a share
bash-completion,complete,Print arguments for bash_completion
list-extensions,,List all the os-api extensions that are available
